Channel,Time,Program
Rai 1,18:45,L'EreditÃ
Rai 1,20:00,Tg1
Rai 1,20:35,affari tuoi
Rai 1,21:30,Speciale Porta a Porta - Comincia il cammino di Papa Leone XIV
Rai 1,23:30,Tg1
Rai 1,23:35,Speciale Tg1
Rai 1,00:45,Milleeunlibro Scrittori in TV
Rai 1,01:45,Il CaffÃ¨
Rai 2,19:45,Blue Bloods
Rai 2,20:30,Tg2
Rai 2,21:00,N.C.I.S. St 22  Ep 12  - Giochi pericolosi
Rai 2,21:50,N.C.I.S. Origins St 1  Ep 12  - Il fortino
Rai 2,22:45,La Domenica Sportiva
Rai 2,00:30,La Domenica Sportiva
Rai 2,01:05,Meteo 2
Rai 2,01:10,Appuntamento al cinema
Rai 3,19:00,Tg3
Rai 3,19:30,Tg Regione
Rai 3,19:51,Tg Regione
Rai 3,20:00,Blob
Rai 3,20:30,Report
Rai 3,23:15,Inimitabili St 2  - Oriana Fallaci
Rai 3,00:00,TG3 Mondo
Rai 3,00:25,Meteo 3
Rai 4,18:33,Squadra Speciale Cobra 11 St 11  Ep 9  - Un figlio perduto
Rai 4,19:17,Fire Country St 1  Ep 15  - False promesse
Rai 4,19:58,Fire Country St 1  Ep 16  - Indagini
Rai 4,21:20,Intemperie
Rai 4,22:55,Il mio nome Ã¨ Vendetta
Rai 4,00:19,Appuntamento al cinema
Rai 4,00:22,Vampires
Rai 4,02:04,Double Impact - Vendetta finale
Canale 5,18:45,CADUTA LIBERA
Canale 5,19:57,TG5 PRIMA PAGINA
Canale 5,20:00,TG5
Canale 5,20:38,METEO.IT
Canale 5,20:40,PAPERISSIMA SPRINT
Canale 5,21:20,AMICI
Canale 5,00:50,TG5 - NOTTE
Canale 5,01:24,METEO.IT
Italia 1,18:19,STUDIO APERTO LIVE
Italia 1,18:22,METEO.IT
Italia 1,18:30,STUDIO APERTO
Italia 1,18:57,STUDIO APERTO MAG
Italia 1,19:27,C.S.I. MIAMI - VINCITA MORTALE
Italia 1,20:32,NCIS - UNITA' ANTICRIMINE - LICENZA DI UCCIDERE
Italia 1,21:20,LA MUMMIA - 1 PARTE
Italia 1,22:39,TGCOM24 BREAKING NEWS
Canale 20 Mediaset,18:13,MATRIX RESURRECTIONS - 1 PARTE
Canale 20 Mediaset,18:56,TGCOM24 BREAKING NEWS
Canale 20 Mediaset,19:05,METEO.IT
Canale 20 Mediaset,19:06,MATRIX RESURRECTIONS - 2 PARTE
Canale 20 Mediaset,21:04,IO VI TROVERO' - 1 PARTE
Canale 20 Mediaset,21:55,TGCOM24 BREAKING NEWS
Canale 20 Mediaset,22:02,METEO.IT
Canale 20 Mediaset,22:03,IO VI TROVERO' - 2 PARTE
Rete 4,18:58,TG4 - TELEGIORNALE
Rete 4,19:35,METEO.IT
Rete 4,19:39,LA PROMESSA III - 425 - PARTE 2 - 1aTV
Rete 4,20:30,4 DI SERA WEEKEND
Rete 4,21:20,ZONA BIANCA
Rete 4,00:52,QUESTIONE DI TEMPISMO - 1 PARTE
Rete 4,01:39,TGCOM24 BREAKING NEWS
Rete 4,01:41,METEO.IT
Warner TV,18:45,Supernatural - Stagione 11 Episodio 13 - L'amore fa soffrire
Warner TV,19:40,Supernatural - Stagione 11 Episodio 14
Warner TV,20:35,Supernatural - Stagione 11 Episodio 15
Warner TV,21:30,Supernatural - Stagione 11 Episodio 16
Warner TV,22:20,Supernatural - Stagione 11 Episodio 17
Warner TV,23:15,Supernatural - Stagione 11 Episodio 18
Warner TV,00:10,Supernatural - Stagione 11 Episodio 4 - Baby
Warner TV,01:00,Supernatural - Stagione 11 Episodio 5 - L'esile Lizzie
Rai Movie,19:25,Lo straordinario viaggio di T. S. Spivet
Rai Movie,21:10,Machine Gun Preacher
Rai Movie,23:25,"Patton, generale d'acciaio"
Rai Movie,02:25,The Fabelmans
Rai Movie,05:00,La grande conquista
Cine 34,19:00,A CENA CON - NON SI RUBA A CASA DEI LADRI - 1 PARTE
Cine 34,19:48,TGCOM24 BREAKING NEWS
Cine 34,19:55,METEO.IT
Cine 34,19:56,A CENA CON - NON SI RUBA A CASA DEI LADRI - 2 PARTE
Cine 34,21:00,TRE SORELLE - 1 PARTE
Cine 34,22:00,TGCOM24 BREAKING NEWS
Cine 34,22:09,METEO.IT
Cine 34,22:10,TRE SORELLE - 2 PARTE
TWENTYSEVEN,18:15,LA CASA NELLA PRATERIA - LA DONNA CANNONE
TWENTYSEVEN,19:24,MONK - IL SIG. MONK E' IN ONDA
TWENTYSEVEN,20:36,MONK - IL SIG. MONK VA IN OSPEDALE
TWENTYSEVEN,21:18,BAYWATCH - 1 PARTE
TWENTYSEVEN,22:09,TGCOM24 BREAKING NEWS
TWENTYSEVEN,22:16,METEO.IT
TWENTYSEVEN,22:17,BAYWATCH - 2 PARTE
TWENTYSEVEN,23:39,BIGFOOT E I SUOI AMICI
Iris,18:47,IL CASO THOMAS CRAWFORD
Iris,21:13,MIDWAY
Iris,23:56,IL PONTE DELLE SPIE
Iris,02:40,MARIA REGINA DI SCOZIA
Iris,04:47,CIAK NEWS
Iris,04:48,LA LEGGE DEL CAPESTRO
TV8,18:00,Pre / Post Superbike Episodio 19 - Pre Superbike 2025 Round 5
TV8,18:15,Motori World Superbike Episodio 53 - Motori World Superbike 2025 Round 5 Repubblica Ceca - World Sbk Race 2
TV8,18:50,Pre / Post Superbike Episodio 20 - Post Superbike 2025 Round 5
TV8,19:10,Motori Formula 1 Episodio 35 - Motori F1 2025 Gp Del Made In Italy E Dell'emilia Romagna Gara - Live
TV8,20:10,Alessandro Borghese 4 Ristoranti - Stagione 10 Episodio 7 - Trani
TV8,21:40,L'uomo sul treno
TV8,23:40,Blacklight
TV8,01:40,Delitti - Stagione 5 Episodio 5 - Il cacciatore di anoressiche
Italia 2,18:10,ONE PIECE - I PIRATI DEL SOLE SI DIVIDONO
Italia 2,18:31,BLACK-ISH - PRIMA TRAPPOLA
Italia 2,18:58,BLACK-ISH - A VOLTE LE COSE CAMBIANO
Italia 2,19:30,BLACK-ISH - IN ACQUE PROFONDE
Italia 2,19:58,MOM - ENDORFINE E UN SEDERE BRACIERE
Italia 2,20:25,MOM - PAVIMENTI IN VINILE E UN ORSO DEI CARTONI ANIMATI
Italia 2,20:57,MOM - ASSEGNI CON SCOOBY-DOO E SALISBURY STEAK
Italia 2,21:25,THE BIG BANG THEORY - LA TURBOLENZA DEL RUOLO
La 5,18:38,LA ROSA DELLA VENDETTA
La 5,19:38,LA ROSA DELLA VENDETTA
La 5,21:10,IL RITORNO DI UN AMORE - 1 PARTE
La 5,22:12,TGCOM24 BREAKING NEWS
La 5,22:21,METEO.IT
La 5,22:22,IL RITORNO DI UN AMORE - 2 PARTE
La 5,23:06,INGA LINDSTROM - ALLA RICERCA DI TE - 1 PARTE
La 5,00:02,TGCOM24 BREAKING NEWS
NOVE,18:00,Little Big Italy - Stagione 7 Episodio 10 - Sofia
NOVE,19:30,Che tempo che farÃ  - 1^TV - Stagione 2 Episodio 28
NOVE,20:00,Che tempo che fa - 1^TV - Stagione 2 Episodio 28
NOVE,22:45,Che tempo che fa - Il tavolo - 1^TV - Stagione 2 Episodio 28
NOVE,01:15,Fratelli di Crozza - Stagione 17 Episodio 11
NOVE,02:45,Nudi e crudi - Stagione 1 Episodio 12 - Giocare col fuoco
NOVE,03:40,Nudi e crudi - Stagione 1 Episodio 13 - Inferno sull'Himalaya
NOVE,04:35,Nudi e crudi - Stagione 1 Episodio 14 - Incubo in Nicaragua
Cielo,19:30,Affari al buio - Stagione 1 Episodio 8 - I sensitivi
Cielo,20:00,Affari al buio - Stagione 1 Episodio 9 - Pezzo da collezione
Cielo,20:30,Affari di famiglia - Stagione 20 Episodio 12 - Cimelio AC DC
Cielo,21:20,The Captive Scomparsa
Cielo,23:20,"The Deuce La via del porno - Stagione 2 Episodio 1 - La nostra ""Raison D'etre - Prima TV"
Cielo,00:25,XXX: Un mestiere a luci rosse - Stagione 2 Episodio 17
Cielo,00:55,XXX: Un mestiere a luci rosse - Stagione 1 Episodio 18
Cielo,01:25,La cultura del sesso - Stagione 1 Episodio 1 - Las Vegas
La7,18:15,Ã arrivato mio fratello
La7,20:00,TG LA7
La7,20:35,In altre parole Domenica
La7,21:15,La mala - Banditi a Milano
La7,23:30,Il presidio - Scena di un crimine
La7,01:00,TG LA7 Notte
La7,01:35,Artbox (r)
La7,02:10,Funny games
La7 D,18:30,TG LA7d
La7 D,18:35,"Josephine, Ange Gardien"
La7 D,20:20,Eden - Missione Pianeta
La7 D,21:20,Miss Marple
La7 D,01:00,Boston legal
La7 D,02:35,LIKE Tutto ciÃ² che piace
La7 D,03:10,NON DITELO ALLA SPOSA
La7 D,04:50,Ti ci porto io ... In cucina con Vissani
Food Network,18:20,La cucina delle monache - Stagione 4 Episodio 9
Food Network,18:55,La cucina delle monache - Stagione 4 Episodio 7
Food Network,19:30,La cucina delle monache - Stagione 4 Episodio 3
Food Network,20:05,La cucina delle monache - Stagione 1 Episodio 10
Food Network,20:40,La cucina delle monache - Stagione 4 Episodio 5
Food Network,21:15,La cucina delle monache - Stagione 4 Episodio 8
Food Network,21:50,Le ricette del convento - Stagione 6 Episodio 8
Food Network,22:25,Le ricette del convento - Stagione 5 Episodio 8 - Bruciuluna e muccunetti
TOP CRIME,18:08,TGCOM24 BREAKING NEWS
TOP CRIME,18:15,METEO.IT
TOP CRIME,18:16,SOTTO STRETTA SORVEGLIANZA - 2 PARTE
TOP CRIME,19:18,THE CLOSER - MORTE IMPROVVISA
TOP CRIME,20:16,THE CLOSER - NASCONDERSI
TOP CRIME,21:14,LA BARA DI VETRO (PERRY MASON) - 1 PARTE
TOP CRIME,22:08,TGCOM24 BREAKING NEWS
TOP CRIME,22:15,METEO.IT
GIALLO TV,19:10,L'ispettore Barnaby - Stagione 4 Episodio 2
GIALLO TV,21:10,I misteri di Brokenwood - Stagione 5 Episodio 4 - L'angelo oscuro
GIALLO TV,23:10,L'ispettore Barnaby - Stagione 16 Episodio 1 - I fantasmi del Natale
GIALLO TV,01:10,L'ispettore Barnaby - Stagione 16 Episodio 2 - L'affresco medievale
GIALLO TV,03:00,Nightmare Next Door - Stagione 6 Episodio 4 - La chiave del delitto perfetto
GIALLO TV,04:00,Nightmare Next Door - Stagione 6 Episodio 5 - Una strana veritÃ
GIALLO TV,05:00,Nightmare Next Door - Stagione 6 Episodio 6 - Una vita complicata
Rai Premium,19:40,Un'altra vita St 1  Ep 4
Rai Premium,21:20,Sognando... Ballando con le stelle
Rai Premium,00:50,La Squadra
Rai Premium,02:25,Hudson e Rex St 3  Ep 12  - Cane di punta
Rai Premium,03:05,Un ciclone in convento St 9  Ep 10  - Peccati di gioventÃ¹
Rai Premium,03:50,Un ciclone in convento St 9  Ep 11  - Scontro tra titani
Rai Premium,04:35,Piloti
Rai Premium,05:00,Piloti
Mediaset Extra,21:16,L'ISOLA DEI FAMOSI
Mediaset Extra,01:06,MOVIE TRAILER
Mediaset Extra,01:08,TGCOM24 BREAKING NEWS
Mediaset Extra,01:10,L'ISOLA DEI FAMOSI
Mediaset Extra,04:15,L'ISOLA DEI FAMOSI - EXTENDED EDITION
HGTV - HOME GARDEN TV,18:05,Chi cerca trova - Stagione 12 Episodio 12
HGTV - HOME GARDEN TV,19:05,Chi cerca trova - Stagione 12 Episodio 13
HGTV - HOME GARDEN TV,20:05,Chi cerca trova - Stagione 12 Episodio 14
HGTV - HOME GARDEN TV,21:00,Chi cerca trova - Stagione 12 Episodio 15
HGTV - HOME GARDEN TV,22:00,Chi cerca trova - Stagione 14 Episodio 19
HGTV - HOME GARDEN TV,23:00,Chi cerca trova - Stagione 14 Episodio 20
HGTV - HOME GARDEN TV,00:00,Chi cerca trova - Stagione 14 Episodio 21
HGTV - HOME GARDEN TV,00:55,Chi cerca trova - Stagione 14 Episodio 22
TV2000,18:28,Tg2000
TV2000,18:49,IL TORNASOLE
TV2000,19:01,Santa Messa
TV2000,20:04,Santo Rosario da Cascia
TV2000,20:44,Tg2000
TV2000,21:09,Soul
TV2000,21:38,Loving. L'amore deve nascere libero
TV2000,23:47,Il piÃ¹ bel gioco della mia vita
Donna TV,18:00,Pillole Di Sapori
Donna TV,18:30,Tormento D'Amore
Donna TV,19:00,Tormento D'Amore
Donna TV,19:30,Emozioni dal Mondo
Donna TV,20:00,Top Model
Donna TV,21:00,Cold Squad
Donna TV,22:00,Italia Avventura
Donna TV,22:30,Luisana Mia
ALMA TV,18:00,Viaggi Straordinari
ALMA TV,19:00,L'Argonauta
ALMA TV,19:30,Atlante
ALMA TV,20:00,Emozioni Dal Mondo
ALMA TV,20:30,Gulliver
ALMA TV,21:00,Cucino Per Te
ALMA TV,21:30,Mangiare Con Gusto
ALMA TV,22:00,Frittanza Altro Fritto Altra Corsa
TRAVEL TV,18:00,Andata e Ritorno
TRAVEL TV,18:30,Tesori e Meraviglie
TRAVEL TV,19:00,Meraviglie della Natura
TRAVEL TV,20:00,Uno Sguardo Dal Cielo
TRAVEL TV,21:00,Viaggio in Italia
TRAVEL TV,21:30,Cities Of The World
TRAVEL TV,22:00,Magnifica Italia
TRAVEL TV,22:30,K Around The World
Italia 7 Gold,18:00,DIRETTA STADIO
Italia 7 Gold,23:30,CALCISSIMO
Italia 7 Gold,01:00,PROGRAMMAZIONE NOTTURNA
TeleReporter,19:24,Mezzâora Per Voi â Pilates
TeleReporter,19:49,Mezzâora Per Voi â Tonificazione
TeleReporter,20:15,Memory
TeleReporter,20:30,Motor - Cube
TeleReporter,21:00,Sergio Colmes Indaga
TeleReporter,23:00,La 25esima Ora
TeleReporter,23:30,Svizzera E Dintorni
TeleReporter,00:00,La Vetrina DellâAuto
TeleCampione Svizzera Italiana,20:00,Lo Specchio
TeleCampione Svizzera Italiana,20:30,SalirÃ²
TeleCampione Svizzera Italiana,21:00,Mazzolari Arte Contemporanea
TeleCampione Svizzera Italiana,22:00,La Banda Del Malloppo
TeleCampione Svizzera Italiana,00:00,La Vetrina DellâAuto
La1,18:00,Telegiornale flash Le notizie della giornata
La1,18:10,Zerovero - Caro amico ti sfido Conduce Daiana Crivelli.
La1,19:00,Il Quotidiano AttualitÃ  della Svizzera italiana
La1,19:20,Lo Specchio - Ospite: Franco Cavalli
La1,19:55,Meteo regionale I colori del tempo
La1,20:00,Telegiornale Le notizie di prima serata
La1,20:35,Meteo Tutti i colori del tempo
La1,20:40,Mamma Ã¨ partita
La2,19:00,La domenica sportiva Le immagini del week end
La2,20:00,Hockey su ghiaccio: Mondiali 2025 - Ungheria - Svizzera Da Herning (DNK)
La2,23:05,Ciclismo: Giro d'Italia 2025 - Gubbio - Siena 9.a tappa Differita
La2,00:10,Automobilismo: Formula Uno 2025 - Gran Premio dell'Emilia Romagna (R) Da Imola (ITA)
La2,02:20,La domenica sportiva (R) Le immagini del week end
La2,03:15,Il Quotidiano (R) AttualitÃ  della Svizzera italiana
La2,03:30,Lo Specchio
La2,04:00,Telegiornale Le notizie di prima serata
Rai Sport +HD,18:00,Pallanuoto
Rai Sport +HD,19:45,Serie C
Rai Sport +HD,22:00,Giro d'Italia Ciclismo. TGiro
Rai Sport +HD,22:45,Pallanuoto
Rai Sport +HD,00:00,Giro d'Italia
Rai Sport +HD,01:00,Rugby: Serie A Elite maschile
Rai Sport +HD,03:00,Serie C
Rai Sport +HD,05:30,Orienteering
SuperTennis,18:45,Tutto il Foro minuto per minuto
SuperTennis,19:00,WTA Internazionali BNL d'italia (replica)
SuperTennis,21:00,Challenger Torino (replica)
SuperTennis,23:00,WTA 500 Strasburgo (replica)
SuperTennis,01:00,WTA 500 Strasburgo (replica)
SuperTennis,03:00,WTA 500 Strasburgo (replica)
SuperTennis,05:00,WTA Internazionali BNL d'italia (replica)
Euro Sport,18:45,Sport - La casa delle Olimpiadi - Stagione 1 - The Power Of The Olympics
Euro Sport,19:00,Motori - Porsche Supercup - Stagione 2025 - Emilia Romagna
Euro Sport,20:00,Ciclismo - 108esimo Giro d'Italia - Stagione 2025 - 9a tappa - Gubbio - Siena (181 km)
Euro Sport,21:00,Ciclismo - Giro di Ungheria - Stagione 2025 - 5a tappa - Etyek - Strigonio (170 km)
Euro Sport,22:00,Coppa del Mondo - Stagione 2025 - Curitiba. Finale Boulder F - Live
Euro Sport,00:00,Coppa del Mondo - Stagione 2025 - Curitiba. Finale Boulder M
