Channel,Time,Program
Euro Sport,01:30,Ciclismo - 108esimo Giro d'Italia - Stagione 2025 - 9a tappa - Gubbio - Siena (181 km)
SportItalia,18:00,Coppa d'Africa Zambia-Tanzania (diretta)
SportItalia,20:00,Post partita Coppa d'Africa (diretta)
SportItalia,20:30,Serie A Live (diretta)
SportItalia,23:00,Calciomercato Live Weekend (diretta)
SportItalia,00:00,Si Live 24 (diretta)
SportItalia,00:30,Coppa d'Africa Sud Africa-Namibia
SportItalia,02:30,Si Live 24
SportItalia,03:00,Coppa d'Africa Marocco-Congo
Rai Gulp,18:05,Idefix e gli Irriducibili
Rai Gulp,18:20,Klincus
Rai Gulp,18:45,La banda della natura
Rai Gulp,18:55,La banda della natura
Rai Gulp,19:10,Anatane e i ragazzi di Okura
Rai Gulp,19:35,Vita da giungla alla riscossa!
Rai Gulp,19:45,Vita da giungla alla riscossa!
Rai Gulp,20:00,Kung Fu Panda - Le zampe del destino
Rai YoYo,18:00,Bing St 1  Ep 61  - Il gelato
Rai YoYo,18:05,Bing St 1  Ep 62  - Cerotti
Rai YoYo,18:15,Bing St 1  Ep 63  - Gatti
Rai YoYo,18:20,Bing St 1  Ep 64  - Denti di leone
Rai YoYo,18:30,Spidey e i suoi fantastici amici
Rai YoYo,18:55,Peppa Pig St 1  Ep 6  - Tesori dal mare
Rai YoYo,19:00,Peppa Pig St 1  Ep 7  - La scimmia con la tosse
Rai YoYo,19:05,Peppa Pig St 1  Ep 8  - L'auto della polizia
Boing,18:30,Doraemon - Nobita alla Scoperta della Luna
Boing,20:00,Teen Titans Go!
Boing,21:35,Doraemon
Boing,22:00,Doraemon
Boing,22:30,Captain Tsubasa
Boing,23:00,Dragon Ball Super
Boing,00:00,Dragon Ball Super
Cartoonito,18:05,Blaze e  le megamacchine
Cartoonito,18:35,Blaze e  le megamacchine
Cartoonito,19:00,Batwheels
Cartoonito,19:30,Trenino Thomas -Sodor Canta Insieme
Cartoonito,21:20,Tenino Thomas: Missione Bolle
Cartoonito,21:21,Simone - new eps
Cartoonito,21:40,Simone - new eps
Cartoonito,22:10,Trenino Thomas
Frisbee,18:05,Curioso come George - Stagione 6 Episodio 10
Frisbee,18:35,Mega Game Dinsiem - E - Stagione 2 Episodio 1
Frisbee,18:55,Mega Game Dinsiem - E - Stagione 2 Episodio 2
Frisbee,19:20,Curioso come George - Stagione 10 Episodio 2
Frisbee,19:50,Curioso come George - Stagione 10 Episodio 3
Frisbee,20:15,Curioso come George - Stagione 10 Episodio 4
Frisbee,20:45,Curioso come George - Stagione 10 Episodio 5
Frisbee,21:05,Curioso come George - Stagione 10 Episodio 6
K2,18:00,Alvinnn!!! And the Chipmunks - Stagione 5 Episodio 20
K2,18:15,Il barbiere pasticciere - Stagione 1 Episodio 11
K2,18:45,Il barbiere pasticciere - Stagione 1 Episodio 12
K2,19:10,Il barbiere pasticciere - Stagione 4 Episodio 23
K2,19:20,Il barbiere pasticciere - Stagione 4 Episodio 24
K2,19:35,Il barbiere pasticciere - Stagione 2 Episodio 1
K2,20:00,Il barbiere pasticciere - Stagione 2 Episodio 2
K2,20:30,Il barbiere pasticciere - Stagione 2 Episodio 3
DeaKids,18:00,Zig & Sharko - Stagione 1 Episodio 67 - La iena mannara
DeaKids,18:10,Zig & Sharko - Stagione 1 Episodio 68 - In crociera
DeaKids,18:15,Zig & Sharko - Stagione 1 Episodio 69 - Colpo di fulmine
DeaKids,18:25,Il Barbiere Pasticciere - Stagione 1 Episodio 19 - Un ripieno per Crostatina
DeaKids,18:30,Il Barbiere Pasticciere - Stagione 1 Episodio 20 - A caccia di un sorriso
DeaKids,18:40,Il Barbiere Pasticciere - Stagione 1 Episodio 21 - Natale alla Bottega di Pan Barbiere/ Il Natale Di Patato
DeaKids,18:50,Il Barbiere Pasticciere - Stagione 1 Episodio 22 - Alla conquista delle tre stelle Dichelin
DeaKids,19:00,Il Barbiere Pasticciere - Stagione 1 Episodio 23 - L'impiegato del mese
Super,18:15,Lo Show di Patrick Stella
Super,18:40,Lo Show di Patrick Stella
Super,19:05,Lo Show di Patrick Stella
Super,19:30,Vampiro per caso
Super,20:50,Henry Danger
Super,21:15,Henry Danger
Super,21:40,Henry Danger
Super,22:05,Teenage Mutant Ninja Turtles - Tartarughe Ninja
Rai 5,18:31,Art Night - Puntata 2
Rai 5,18:34,Rai - News
Rai 5,18:36,L'opera italiana
Rai 5,20:47,Rai5 Classic Ep 14
Rai 5,21:15,Di lÃ  dal fiume e tra gli alberi
Rai 5,22:13,Art Night
Rai 5,23:18,Settembre
Rai 5,01:02,Rai - News
Rai Storia,18:35,Eventi - Charles Aznavour
Rai Storia,18:55,Rai - News Rai News Giorno
Rai Storia,19:00,Testimoni Oculari - La battaglia di Roma p2
Rai Storia,19:50,Eventi
Rai Storia,20:00,Il giorno e la storia
Rai Storia,20:20,Scritto letto detto
Rai Storia,20:30,Passato e Presente
Rai Storia,21:10,"Italiani, brava gente"
Rai Scuola,18:00,Oggi Ã¨
Rai Scuola,18:30,Wild Italy
Rai Scuola,19:15,Oasi
Rai Scuola,20:00,Genius
Rai Scuola,21:00,Il meraviglioso mondo del sangue
Rai Scuola,22:00,Inizio e fine dell'Universo L'inizio
Rai Scuola,23:00,Mondi invisibili
Rai Scuola,23:45,FUTURO 24
Motor Trend Italia,18:25,Cantieri impossibili: Germania - Stagione 3 Episodio 10
Motor Trend Italia,19:20,Cantieri impossibili: Germania - Stagione 3 Episodio 11
Motor Trend Italia,20:15,Cantieri impossibili: Germania - Stagione 3 Episodio 12
Motor Trend Italia,21:15,Cantieri impossibili: Germania - Stagione 3 Episodio 13
Motor Trend Italia,22:15,Ingegneria degli Epic Fail - 1^TV - Stagione 6 Episodio 1
Motor Trend Italia,23:15,Titans of Steel: tesori d'acciaio - Stagione 2 Episodio 8
Motor Trend Italia,00:15,Affari a quattro ruote - Stagione 9 Episodio 1 - Fiat Dino Coupe 2400
Motor Trend Italia,01:10,Affari a quattro ruote - Stagione 9 Episodio 2 - Morgan +4
DMAX,19:30,L'Eldorado della droga: viaggio in USA - Stagione 2 Episodio 1
DMAX,20:30,L'Eldorado della droga: viaggio in USA - Stagione 3 Episodio 12
DMAX,21:25,Border Control: Nord Europa - Stagione 1 Episodio 9 - Paddy al lavoro
DMAX,22:20,Border Control: Nord Europa - Stagione 1 Episodio 10 - Birra in auto
DMAX,23:15,I due Escobar
DMAX,01:20,Ce l'avevo quasi fatta - Stagione 5 Episodio 5 - Con la mia famiglia
DMAX,02:20,Ce l'avevo quasi fatta - Stagione 5 Episodio 6 - Rapina in vacanza
DMAX,03:15,Ce l'avevo quasi fatta - Stagione 5 Episodio 7 - Verso la Costa Rica
Focus TV,18:30,I DISASTRI CHE HANNO CAMBIATO IL MONDO - IL VULCANO DEI SECOLI BUI
Focus TV,19:27,STORIE SEGRETE - ERUZIONI ED ENIGMI
Focus TV,20:23,VISTI DAL CIELO - MISTERI DI QUESTO MONDO - MISTERI FUORI POSTO
Focus TV,21:25,FREEDOM - OLTRE IL CONFINE
Focus TV,00:19,IL RE DEGLI IPPOPOTAMI
Focus TV,01:27,GLI ANIMALI PIU' PERICOLOSI - PREDATORI A SANGUE FREDDO
Focus TV,02:16,PATAGONIA - LA VITA AI CONFINI DEL MONDO - LA COSTA DESERTICA
Focus TV,02:57,SECRETS IN THE JUNGLE - STRANE SCOPERTE NEL PROFONDO DELLA GIUNGLA - RINOCERONTE MACELLATO/ AUTO NELLA GIUNGLA/ ISOLA DEI SERPENTI/ SEPOLTURA AMOREVOLE
RealTime,18:55,Casa a prima vista - Stagione 6 Episodio 10
RealTime,20:05,Matrimonio a prima vista Italia - Stagione 11 Episodio 6
RealTime,21:30,90 giorni per innamorarsi: prima dei 90 giorni - Stagione 7 Episodio 7 - In un'altra vita - Prima TV
RealTime,23:20,ER: storie incredibili - Stagione 9 Episodio 10 - Non toccarlo
RealTime,00:20,ER: storie incredibili - Stagione 9 Episodio 11 - Fuori controllo
RealTime,01:15,ER: storie incredibili - Stagione 9 Episodio 12 - Il playboy
RealTime,02:10,ER: storie incredibili - Stagione 9 Episodio 13 - Dottor Bikini
RealTime,03:00,ER: storie incredibili - Stagione 9 Episodio 14 - Non spingere
Discovery Channel,18:15,Lo zoo del Bronx - Stagione 5 Episodio 4 - Il cuore della volpe
Discovery Channel,19:10,Lo zoo del Bronx - Stagione 5 Episodio 5 - Grandi amicizie
Discovery Channel,20:05,Lo zoo del Bronx - Stagione 5 Episodio 6 - Il ballo della giraffa
Discovery Channel,21:00,Nudi e crudi: alla deriva - Stagione 1 Episodio 3 - Senza indicazioni - Prima TV
Discovery Channel,21:55,Nudi e crudi: alla deriva - Stagione 1 Episodio 1 - Circondati da insetti
Discovery Channel,22:50,Nudi e crudi - Stagione 1 Episodio 5 - Borneo
Discovery Channel,23:45,Come funziona l'Universo - Stagione 7 Episodio 8 - Cassini
Discovery Channel,00:35,Come funziona l'Universo - Stagione 7 Episodio 9 - Terra a palla di neve
Sky Uno,18:15,Alessandro Borghese 4 Ristoranti - Stagione 10 Episodio 1 - Puntata speciale pizza
Sky Uno,19:45,Alessandro Borghese 4 Ristoranti - Stagione 10 Episodio 11 - Roma: puntata speciale VIP
Sky Uno,21:15,Cucine da incubo - Stagione 11 Episodio 7 - Prima TV/Finale di Stagione
Sky Uno,22:30,Cucine da incubo - Stagione 11 Episodio 6
Sky Uno,23:40,Cucine da incubo - Stagione 11 Episodio 7
Sky Uno,00:50,Alessandro Borghese 4 Ristoranti - Stagione 10 Episodio 11 - Roma: puntata speciale VIP
Sky Uno,02:20,Quattro matrimoni - Stagione 4 Episodio 5
Sky Uno,03:10,Quattro matrimoni - Stagione 4 Episodio 2
Sky Uno,18:10,Quattro matrimoni Ep. 9
Sky Uno,19:10,Italia's Got Talent Audizioni
Sky Uno,20:15,Cuochi d'Italia Ep. 4
Sky Uno,22:25,Pechino Express - La rotta dei sultani Ep. 6
Sky Uno,00:40,Bruno Barbieri - 4 Hotel Firenze
Sky Uno,01:50,Bruno Barbieri - 4 Hotel Langhe
Sky Uno,03:00,Quattro matrimoni Ep. 8
Sky Cinema 1,19:15,Uno di noi
Sky Cinema 1,21:15,Diabolik
Sky Cinema 1,23:35,Nessuno mi puo' giudicare
Sky Cinema 1,01:15,Rush
Sky Cinema 1,03:20,Emilia Perez
Sky Cinema 1,05:35,Non sono quello che sono
Sky Cinema 1,19:20,Old
Sky Cinema 1,23:15,Notre-Dame in fiamme
Sky Cinema 1,03:00,100X100Cinema
SKY Cinema Family,19:15,My Spy
SKY Cinema Family,21:00,The Portable Door
SKY Cinema Family,23:00,Jumanji
SKY Cinema Family,00:45,Qua la zampa 2 Un amico e' per sempre
SKY Cinema Family,02:35,Lassie torna a casa
SKY Cinema Family,04:10,Madagascar
SKY Cinema Family,05:35,Alla fine ci sei tu
SKY Cinema Family,19:25,Peter Rabbit 2 - Un birbante in fuga
SKY Cinema Family,22:25,La musica nel cuore - August Rush
SKY Cinema Family,00:20,Il richiamo della foresta
SKY Cinema Family,01:50,Paddington
SKY Cinema Family,03:30,Paddington 2
SKY Cinema Family,05:15,Elfkins - Missione Best Bakery
Sky Cinema Romance,19:05,Tutti in piedi
Sky Cinema Romance,21:00,Il gusto delle cose
Sky Cinema Romance,23:20,Resta con me
Sky Cinema Romance,01:00,French Girl
Sky Cinema Romance,02:50,"Mektoub, My Love: Canto Uno"
